"Zaman damgası","Bölümünüz nedir?","Kaçıncı sınıftasınız?","İlk işinizde kaç TL maaş almayı bekliyorsunuz?"
"2018/02/23 5:40:05 ÖS GMT+1","Yönetim Bilişim Sistemleri","2","3500"
"2018/02/23 5:40:35 ÖS GMT+1","İktisat","3","3000"
"2018/02/23 5:40:54 ÖS GMT+1","İşletme","3","4000"
"2018/02/23 5:42:40 ÖS GMT+1","Makine Mühendisliği","4","4500"
"2018/02/23 5:42:43 ÖS GMT+1","Siyaset Bilimi ve Uluslararası İlişkiler","3","4000"
"2018/02/23 5:43:10 ÖS GMT+1","Çeviribilim","3","5000"
"2018/02/23 5:43:39 ÖS GMT+1","Uluslararası Ticaret","Hazırlık","3500"
"2018/02/23 5:43:58 ÖS GMT+1","Moleküler Biyoloji ve Genetik","1","3000"
"2018/02/23 5:44:07 ÖS GMT+1","Elektrik-Elektronik Mühendisliği","4","4200"
"2018/02/23 5:44:35 ÖS GMT+1","Moleküler Biyoloji ve Genetik","4","4000"
"2018/02/23 5:44:51 ÖS GMT+1","Fizik","2","4000"
"2018/02/23 5:45:34 ÖS GMT+1","Çeviribilim","Hazırlık","3000"
"2018/02/23 5:45:52 ÖS GMT+1","Endüstri Mühendisliği","3","4000"
"2018/02/23 5:46:04 ÖS GMT+1","İktisat","3","4000"
"2018/02/23 5:46:05 ÖS GMT+1","Yönetim Bilişim Sistemleri","3","4000"
"2018/02/23 5:46:38 ÖS GMT+1","Matematik","2","5000"
"2018/02/23 5:47:12 ÖS GMT+1","Çeviribilim","1","5000"
"2018/02/23 5:47:14 ÖS GMT+1","İşletme","3","4500"
"2018/02/23 5:47:39 ÖS GMT+1","Matematik","4","2000"
"2018/02/23 5:48:29 ÖS GMT+1","İşletme","3","3000"
"2018/02/23 5:48:32 ÖS GMT+1","İktisat","4","2500"
"2018/02/23 5:49:26 ÖS GMT+1","İlköğretim Matematik Öğretmenliği","3","2800"
"2018/02/23 5:49:39 ÖS GMT+1","Kimya Mühendisliği","3","3000 "
"2018/02/23 5:49:41 ÖS GMT+1","Uluslararası Ticaret","4","4000"
"2018/02/23 5:49:50 ÖS GMT+1","Bilgisayar ve Öğretim Teknolojileri Öğretmenliği","4","3000"
"2018/02/23 5:49:58 ÖS GMT+1","Elektrik-Elektronik Mühendisliği","1","3000"
"2018/02/23 5:50:45 ÖS GMT+1","İşletme","4","4000"
"2018/02/23 5:51:07 ÖS GMT+1","Uluslararası Ticaret","Hazırlık","4600"
"2018/02/23 5:51:23 ÖS GMT+1","Siyaset Bilimi ve Uluslararası İlişkiler","3","1700"
"2018/02/23 5:51:28 ÖS GMT+1","Kimya Öğretmenliği","4","3000"
"2018/02/23 5:52:03 ÖS GMT+1","Rehberlik ve Psikolojik Danışmanlık","4","3300"
"2018/02/23 5:52:28 ÖS GMT+1","İşletme","2","3500"
"2018/02/23 5:52:33 ÖS GMT+1","Okul Öncesi Öğretmenliği","4","3500"
"2018/02/23 5:52:37 ÖS GMT+1","Okul Öncesi Öğretmenliği","Hazırlık","5000"
"2018/02/23 5:52:54 ÖS GMT+1","Psikoloji","2","5000"
"2018/02/23 5:52:58 ÖS GMT+1","Psikoloji","4","2000"
"2018/02/23 5:54:08 ÖS GMT+1","İktisat","3","4500"
"2018/02/23 5:54:12 ÖS GMT+1","Kimya Mühendisliği","4","4000"
"2018/02/23 5:54:21 ÖS GMT+1","Psikoloji","3","3000"
"2018/02/23 5:54:33 ÖS GMT+1","Elektrik-Elektronik Mühendisliği","2","4500"
"2018/02/23 5:54:43 ÖS GMT+1","Siyaset Bilimi ve Uluslararası İlişkiler","4","2500"
"2018/02/23 5:55:40 ÖS GMT+1","Bilgisayar Mühendisliği","4","4000"
"2018/02/23 5:55:59 ÖS GMT+1","Sosyoloji","4","3000"
"2018/02/23 5:56:10 ÖS GMT+1","Elektrik-Elektronik Mühendisliği","4","6000"
"2018/02/23 5:56:14 ÖS GMT+1","Siyaset Bilimi ve Uluslararası İlişkiler","4","3500"
"2018/02/23 5:56:15 ÖS GMT+1","İktisat","4","4000"
"2018/02/23 5:56:20 ÖS GMT+1","Bilgisayar Mühendisliği","2","10000"
"2018/02/23 5:56:21 ÖS GMT+1","Yönetim Bilişim Sistemleri","2","4000"
"2018/02/23 5:56:52 ÖS GMT+1","Tarih","2","2500"
"2018/02/23 5:57:08 ÖS GMT+1","Endüstri Mühendisliği","1","6500"
"2018/02/23 5:57:37 ÖS GMT+1","Uluslararası Ticaret","3","4000"
"2018/02/23 5:57:45 ÖS GMT+1","İktisat","2","2800"
"2018/02/23 5:57:59 ÖS GMT+1","İnşaat Mühendisliği","1","1603"
"2018/02/23 5:58:08 ÖS GMT+1","Türk Dili ve Edebiyatı","Hazırlık","2000"
"2018/02/23 5:58:32 ÖS GMT+1","Elektrik-Elektronik Mühendisliği","4","5500"
"2018/02/23 5:59:16 ÖS GMT+1","Elektrik-Elektronik Mühendisliği","2","4000"
"2018/02/23 5:59:33 ÖS GMT+1","İşletme","4","4000"
"2018/02/23 6:00:16 ÖS GMT+1","Kimya Öğretmenliği","2","3000"
"2018/02/23 6:00:29 ÖS GMT+1","İngilizce Öğretmenliği","3","9999"
"2018/02/23 6:00:41 ÖS GMT+1","Bilgisayar Mühendisliği","Hazırlık","5000"
"2018/02/23 6:00:44 ÖS GMT+1","Elektrik-Elektronik Mühendisliği","1","5555"
"2018/02/23 6:00:55 ÖS GMT+1","Bilgisayar Mühendisliği","4","15271"
"2018/02/23 6:01:30 ÖS GMT+1","Felsefe","3","13560"
"2018/02/23 6:01:49 ÖS GMT+1","İktisat","3","4000"
"2018/02/23 6:02:08 ÖS GMT+1","İktisat","2","3000"
"2018/02/23 6:02:40 ÖS GMT+1","Fizik Öğretmenliği","3","3000"
"2018/02/23 6:02:56 ÖS GMT+1","İngilizce Öğretmenliği","4","3000"
"2018/02/23 6:03:04 ÖS GMT+1","Uluslararası Ticaret","4","5500"
"2018/02/23 6:03:20 ÖS GMT+1","Psikoloji","2","3500"
"2018/02/23 6:04:37 ÖS GMT+1","İngilizce Öğretmenliği","2","4000"
"2018/02/23 6:05:05 ÖS GMT+1","Bilgisayar Mühendisliği","4","4500"
"2018/02/23 6:05:10 ÖS GMT+1","İktisat","2","4500"
"2018/02/23 6:05:17 ÖS GMT+1","Bilgisayar ve Öğretim Teknolojileri Öğretmenliği","1","2500"
"2018/02/23 6:06:03 ÖS GMT+1","İnşaat Mühendisliği","Hazırlık","5000"
"2018/02/23 6:06:43 ÖS GMT+1","İlköğretim Matematik Öğretmenliği","2","3000"
"2018/02/23 6:07:10 ÖS GMT+1","Moleküler Biyoloji ve Genetik","4","2000"
"2018/02/23 6:08:37 ÖS GMT+1","Psikoloji","4","3000"
"2018/02/23 6:08:48 ÖS GMT+1","Bilgisayar Mühendisliği","1","3000"
"2018/02/23 6:09:34 ÖS GMT+1","Sosyoloji","3","2500"
"2018/02/23 6:10:37 ÖS GMT+1","İnşaat Mühendisliği","4","4000"
"2018/02/23 6:10:53 ÖS GMT+1","Kimya Mühendisliği","4","4000"
"2018/02/23 6:11:17 ÖS GMT+1","İnşaat Mühendisliği","2","3000"
"2018/02/23 6:11:25 ÖS GMT+1","İnşaat Mühendisliği","4","3500"
"2018/02/23 6:12:09 ÖS GMT+1","İşletme","4","3500"
"2018/02/23 6:12:12 ÖS GMT+1","Sosyoloji","4","3500"
"2018/02/23 6:12:35 ÖS GMT+1","Çeviribilim","4","1603"
"2018/02/23 6:13:16 ÖS GMT+1","Yönetim Bilişim Sistemleri","2","4500"
"2018/02/23 6:13:17 ÖS GMT+1","Turizm İşletmeciliği","Hazırlık","7000"
"2018/02/23 6:13:29 ÖS GMT+1","Moleküler Biyoloji ve Genetik","1","3000"
"2018/02/23 6:14:05 ÖS GMT+1","İşletme","3","3000"
"2018/02/23 6:14:26 ÖS GMT+1","Elektrik-Elektronik Mühendisliği","4","4000"
"2018/02/23 6:14:47 ÖS GMT+1","Bilgisayar ve Öğretim Teknolojileri Öğretmenliği","3","5000"
"2018/02/23 6:15:11 ÖS GMT+1","Makine Mühendisliği","3","5000"
"2018/02/23 6:15:16 ÖS GMT+1","Tarih","1","3000"
"2018/02/23 6:17:23 ÖS GMT+1","İşletme","2","3000"
"2018/02/23 6:17:25 ÖS GMT+1","İnşaat Mühendisliği","4","8000"
"2018/02/23 6:19:22 ÖS GMT+1","Elektrik-Elektronik Mühendisliği","1","15000"
"2018/02/23 6:19:43 ÖS GMT+1","Yönetim Bilişim Sistemleri","2","3800"
"2018/02/23 6:20:49 ÖS GMT+1","İktisat","1","4000"
"2018/02/23 6:24:01 ÖS GMT+1","İngiliz Dili ve Edebiyatı","2","4000"
"2018/02/23 6:24:15 ÖS GMT+1","Bilgisayar ve Öğretim Teknolojileri Öğretmenliği","3","5000"
"2018/02/23 6:24:38 ÖS GMT+1","Sosyoloji","3","2000"
"2018/02/23 6:24:47 ÖS GMT+1","Sosyoloji","2","2500"
"2018/02/23 6:24:58 ÖS GMT+1","Sosyoloji","Hazırlık","5000"
"2018/02/23 6:25:44 ÖS GMT+1","Elektrik-Elektronik Mühendisliği","Hazırlık","4000"
"2018/02/23 6:25:49 ÖS GMT+1","Sosyoloji","2","3500"
"2018/02/23 6:28:01 ÖS GMT+1","Siyaset Bilimi ve Uluslararası İlişkiler","1","7000"
"2018/02/23 6:28:30 ÖS GMT+1","İşletme","3","3500"
"2018/02/23 6:29:32 ÖS GMT+1","Makine Mühendisliği","3","2500"
"2018/02/23 6:30:21 ÖS GMT+1","Bilgisayar Mühendisliği","3","6000"
"2018/02/23 6:31:18 ÖS GMT+1","İktisat","4","3500"
"2018/02/23 6:31:29 ÖS GMT+1","İlköğretim Matematik Öğretmenliği","3","3500"
"2018/02/23 6:32:16 ÖS GMT+1","Yönetim Bilişim Sistemleri","2","3500"
"2018/02/23 6:32:29 ÖS GMT+1","Okul Öncesi Öğretmenliği","4","2500"
"2018/02/23 6:33:01 ÖS GMT+1","Sosyoloji","Hazırlık","3000"
"2018/02/23 6:34:24 ÖS GMT+1","Turizm İşletmeciliği","4","2000"
"2018/02/23 6:35:04 ÖS GMT+1","Siyaset Bilimi ve Uluslararası İlişkiler","2","3500"
"2018/02/23 6:35:19 ÖS GMT+1","Elektrik-Elektronik Mühendisliği","2","4500"
"2018/02/23 6:37:24 ÖS GMT+1","Yönetim Bilişim Sistemleri","4","3500"
"2018/02/23 6:37:33 ÖS GMT+1","Turizm İşletmeciliği","3","1700"
"2018/02/23 6:37:54 ÖS GMT+1","İktisat","1","3500"
"2018/02/23 6:38:11 ÖS GMT+1","Bilgisayar ve Öğretim Teknolojileri Öğretmenliği","3","5000"
"2018/02/23 6:38:12 ÖS GMT+1","İşletme","3","3500"
"2018/02/23 6:39:00 ÖS GMT+1","Bilgisayar ve Öğretim Teknolojileri Öğretmenliği","4","2500"
"2018/02/23 6:41:05 ÖS GMT+1","İktisat","4","3500"
"2018/02/23 6:43:11 ÖS GMT+1","Bilgisayar Mühendisliği","2","3500"
"2018/02/23 6:43:14 ÖS GMT+1","Tarih","4","4000"
"2018/02/23 6:44:07 ÖS GMT+1","Endüstri Mühendisliği","4","10000"
"2018/02/23 6:44:52 ÖS GMT+1","Elektrik-Elektronik Mühendisliği","3","4500"
"2018/02/23 6:44:53 ÖS GMT+1","Kimya","2","3000"
"2018/02/23 6:45:09 ÖS GMT+1","Moleküler Biyoloji ve Genetik","2","2500"
"2018/02/23 6:45:40 ÖS GMT+1","İngilizce Öğretmenliği","3","3000"
"2018/02/23 6:45:43 ÖS GMT+1","Rehberlik ve Psikolojik Danışmanlık","Hazırlık","3000"
"2018/02/23 6:45:45 ÖS GMT+1","Rehberlik ve Psikolojik Danışmanlık","2","4000"
"2018/02/23 6:45:53 ÖS GMT+1","Makine Mühendisliği","3","3500"
"2018/02/23 6:46:11 ÖS GMT+1","Kimya Mühendisliği","3","2000"
"2018/02/23 6:46:14 ÖS GMT+1","Endüstri Mühendisliği","2","5000"
"2018/02/23 6:47:24 ÖS GMT+1","Çeviribilim","4","3800"
"2018/02/23 6:49:13 ÖS GMT+1","Matematik","1","2000"
"2018/02/23 6:49:13 ÖS GMT+1","Matematik","2","12673"
"2018/02/23 6:49:43 ÖS GMT+1","İngiliz Dili ve Edebiyatı","3","1700"
"2018/02/23 6:50:20 ÖS GMT+1","Bilgisayar Mühendisliği","1","6000"
"2018/02/23 6:51:48 ÖS GMT+1","Turizm İşletmeciliği","Hazırlık","2800"
"2018/02/23 6:52:05 ÖS GMT+1","İşletme","3","5000"
"2018/02/23 6:52:18 ÖS GMT+1","Sosyoloji","2","5000"
"2018/02/23 6:52:24 ÖS GMT+1","İngilizce Öğretmenliği","1","6931"
"2018/02/23 6:52:43 ÖS GMT+1","Makine Mühendisliği","3","3500"
"2018/02/23 6:54:53 ÖS GMT+1","Uluslararası Ticaret","4","2500"
"2018/02/23 6:56:39 ÖS GMT+1","Makine Mühendisliği","3","3000"
"2018/02/23 6:56:50 ÖS GMT+1","İşletme","3","2500"
"2018/02/23 6:57:01 ÖS GMT+1","Okul Öncesi Öğretmenliği","3","4000"
"2018/02/23 7:00:41 ÖS GMT+1","Okul Öncesi Öğretmenliği","4","49999"
"2018/02/23 7:01:39 ÖS GMT+1","İktisat","3","4000"
"2018/02/23 7:02:03 ÖS GMT+1","Endüstri Mühendisliği","4","4500"
"2018/02/23 7:06:22 ÖS GMT+1","Turizm İşletmeciliği","1","2000"
"2018/02/23 7:06:33 ÖS GMT+1","Siyaset Bilimi ve Uluslararası İlişkiler","4","3500"
"2018/02/23 7:06:48 ÖS GMT+1","İnşaat Mühendisliği","3","3000"
"2018/02/23 7:07:20 ÖS GMT+1","Elektrik-Elektronik Mühendisliği","3","4000"
"2018/02/23 7:07:48 ÖS GMT+1","Bilgisayar Mühendisliği","1","6000"
"2018/02/23 7:08:01 ÖS GMT+1","İşletme","3","2000"
"2018/02/23 7:11:05 ÖS GMT+1","İngiliz Dili ve Edebiyatı","2","3000"
"2018/02/23 7:11:18 ÖS GMT+1","Psikoloji","4","3500"
"2018/02/23 7:11:31 ÖS GMT+1","Rehberlik ve Psikolojik Danışmanlık","3","2700"
"2018/02/23 7:11:34 ÖS GMT+1","İngilizce Öğretmenliği","3","6000"
"2018/02/23 7:11:52 ÖS GMT+1","Bilgisayar Mühendisliği","4","4500"
"2018/02/23 7:12:43 ÖS GMT+1","Rehberlik ve Psikolojik Danışmanlık","4","3000"
"2018/02/23 7:13:00 ÖS GMT+1","Matematik","3","3500"
"2018/02/23 7:13:07 ÖS GMT+1","Uluslararası Ticaret","4","3500"
"2018/02/23 7:14:31 ÖS GMT+1","Dilbilim","1"," 1603"
"2018/02/23 7:22:45 ÖS GMT+1","Makine Mühendisliği","4","4500"
"2018/02/23 7:23:11 ÖS GMT+1","Psikoloji","1","3000"
"2018/02/23 7:26:31 ÖS GMT+1","Siyaset Bilimi ve Uluslararası İlişkiler","4","3500"
"2018/02/23 7:27:18 ÖS GMT+1","Moleküler Biyoloji ve Genetik","4","3500"
"2018/02/23 7:29:40 ÖS GMT+1","Uluslararası Ticaret","2","4000"
"2018/02/23 7:31:24 ÖS GMT+1","Kimya Mühendisliği","1","4000"
"2018/02/23 7:31:48 ÖS GMT+1","İlköğretim Matematik Öğretmenliği","Hazırlık","2500"
"2018/02/23 7:32:06 ÖS GMT+1","Matematik","3","2000"
"2018/02/23 7:35:15 ÖS GMT+1","İngilizce Öğretmenliği","1","3500"
"2018/02/23 7:36:42 ÖS GMT+1","Makine Mühendisliği","4","4500"
"2018/02/23 7:37:30 ÖS GMT+1","İktisat","3","4500"
"2018/02/23 7:37:36 ÖS GMT+1","Rehberlik ve Psikolojik Danışmanlık","3","3500"
"2018/02/23 7:38:35 ÖS GMT+1","Fizik","4","6000"
"2018/02/23 7:41:14 ÖS GMT+1","Turizm İşletmeciliği","4","5000"
"2018/02/23 7:46:23 ÖS GMT+1","İngilizce Öğretmenliği","4","3200"
"2018/02/23 7:46:42 ÖS GMT+1","İngilizce Öğretmenliği","4","3000"
"2018/02/23 7:51:26 ÖS GMT+1","Çeviribilim","3","2200"
"2018/02/23 7:51:46 ÖS GMT+1","Uluslararası Ticaret","2","3000"
"2018/02/23 7:52:27 ÖS GMT+1","Psikoloji","4","2400"
"2018/02/23 7:52:59 ÖS GMT+1","Kimya","1","1603"
"2018/02/23 7:53:06 ÖS GMT+1","Moleküler Biyoloji ve Genetik","1","3000"
"2018/02/23 7:53:30 ÖS GMT+1","Makine Mühendisliği","1","1603"
"2018/02/23 7:53:34 ÖS GMT+1","Kimya","1","1603"
"2018/02/23 7:53:55 ÖS GMT+1","Moleküler Biyoloji ve Genetik","1","1603"
"2018/02/23 7:55:09 ÖS GMT+1","Endüstri Mühendisliği","2","3500"
"2018/02/23 7:58:39 ÖS GMT+1","Türk Dili ve Edebiyatı","Hazırlık","5500"
"2018/02/23 7:58:47 ÖS GMT+1","Elektrik-Elektronik Mühendisliği","Hazırlık","10000"
"2018/02/23 8:00:46 ÖS GMT+1","Endüstri Mühendisliği","2","4500"
"2018/02/23 8:03:12 ÖS GMT+1","Siyaset Bilimi ve Uluslararası İlişkiler","2","6500"
"2018/02/23 8:03:14 ÖS GMT+1","Okul Öncesi Öğretmenliği","4","2500"
"2018/02/23 8:09:39 ÖS GMT+1","Kimya","Hazırlık","3500"
"2018/02/23 8:16:33 ÖS GMT+1","İşletme","4","3500"
"2018/02/23 8:21:39 ÖS GMT+1","İşletme","3","5000"
"2018/02/23 8:25:14 ÖS GMT+1","Fen Bilgisi Öğretmenliği","3","3500"
"2018/02/23 8:27:37 ÖS GMT+1","Siyaset Bilimi ve Uluslararası İlişkiler","4","4000"
"2018/02/23 8:29:16 ÖS GMT+1","İşletme","4","7500"
"2018/02/23 8:30:06 ÖS GMT+1","İşletme","4","4000"
"2018/02/23 8:30:10 ÖS GMT+1","Uluslararası Ticaret","1","2750"
"2018/02/23 8:30:12 ÖS GMT+1","Psikoloji","1","3000"
"2018/02/23 8:30:26 ÖS GMT+1","İşletme","4","7000"
"2018/02/23 8:30:35 ÖS GMT+1","Felsefe","3","5000"
"2018/02/23 8:30:44 ÖS GMT+1","İktisat","1","3000"
"2018/02/23 8:30:44 ÖS GMT+1","İşletme","2","4500"
"2018/02/23 8:31:15 ÖS GMT+1","İşletme","2","2400"
"2018/02/23 8:31:44 ÖS GMT+1","İşletme","4","4000"
"2018/02/23 8:32:36 ÖS GMT+1","Kimya","1","3000"
"2018/02/23 8:34:11 ÖS GMT+1","İngiliz Dili ve Edebiyatı","4","3500"
"2018/02/23 8:34:33 ÖS GMT+1","İşletme","3","3200"
"2018/02/23 8:36:36 ÖS GMT+1","İşletme","4","4500"
"2018/02/23 8:36:38 ÖS GMT+1","Elektrik-Elektronik Mühendisliği","3","5000"
"2018/02/23 8:36:48 ÖS GMT+1","İşletme","4","4000"
"2018/02/23 8:37:07 ÖS GMT+1","İşletme","4","10000"
"2018/02/23 8:39:47 ÖS GMT+1","İşletme","3","2800"
"2018/02/23 8:40:13 ÖS GMT+1","İşletme","2","3000"
"2018/02/23 8:41:08 ÖS GMT+1","İşletme","3","3000"
"2018/02/23 8:41:20 ÖS GMT+1","İşletme","4","4000"
"2018/02/23 8:41:21 ÖS GMT+1","İşletme","3","2500"
"2018/02/23 8:41:30 ÖS GMT+1","Rehberlik ve Psikolojik Danışmanlık","2","3000"
"2018/02/23 8:41:33 ÖS GMT+1","İşletme","4","4000"
"2018/02/23 8:41:36 ÖS GMT+1","İşletme","3","2500"
"2018/02/23 8:42:32 ÖS GMT+1","Endüstri Mühendisliği","2","10000"
"2018/02/23 8:43:05 ÖS GMT+1","İşletme","3","3000"
"2018/02/23 8:44:38 ÖS GMT+1","İşletme","3","4000"
"2018/02/23 8:46:33 ÖS GMT+1","Çeviribilim","4","3100"
