"Zaman damgası","Bölümünüz nedir?","Kaçıncı sınıftasınız?","İlk işinizde kaç TL maaş almayı bekliyorsunuz?"
"2018/02/23 8:46:35 ÖS GMT+1","Rehberlik ve Psikolojik Danışmanlık","3","2500"
"2018/02/23 8:46:43 ÖS GMT+1","İşletme","3","3500"
"2018/02/23 8:47:14 ÖS GMT+1","Bilgisayar Mühendisliği","4","5500"
"2018/02/23 8:47:27 ÖS GMT+1","İşletme","3","2500"
"2018/02/23 8:47:32 ÖS GMT+1","Tarih","Hazırlık","4000"
"2018/02/23 8:49:10 ÖS GMT+1","İngilizce Öğretmenliği","4","3000"
"2018/02/23 8:50:03 ÖS GMT+1","İşletme","3","3500"
"2018/02/23 8:51:04 ÖS GMT+1","Psikoloji","4","2500"
"2018/02/23 8:51:17 ÖS GMT+1","İşletme","4","4000"
"2018/02/23 8:51:35 ÖS GMT+1","İşletme","3","4200"
"2018/02/23 8:52:27 ÖS GMT+1","İşletme","3","4000"
"2018/02/23 8:53:37 ÖS GMT+1","İşletme","3","5000"
"2018/02/23 8:54:02 ÖS GMT+1","İşletme","3","15000"
"2018/02/23 8:54:13 ÖS GMT+1","İşletme","2","3000"
"2018/02/23 8:54:14 ÖS GMT+1","İşletme","3","4000"
"2018/02/23 8:54:40 ÖS GMT+1","Turizm İşletmeciliği","3","4000"
"2018/02/23 8:55:14 ÖS GMT+1","Makine Mühendisliği","2","4000"
"2018/02/23 8:55:21 ÖS GMT+1","İşletme","2","3000"
"2018/02/23 8:55:31 ÖS GMT+1","Türk Dili ve Edebiyatı","4","3000"
"2018/02/23 8:55:39 ÖS GMT+1","Elektrik-Elektronik Mühendisliği","Hazırlık","2000"
"2018/02/23 8:55:47 ÖS GMT+1","İşletme","4","3000"
"2018/02/23 8:56:03 ÖS GMT+1","İşletme","4","4500"
"2018/02/23 8:56:23 ÖS GMT+1","İşletme","4","3500"
"2018/02/23 8:56:55 ÖS GMT+1","Endüstri Mühendisliği","4","3500"
"2018/02/23 8:57:50 ÖS GMT+1","İşletme","2","3800"
"2018/02/23 8:58:01 ÖS GMT+1","İşletme","4","9000"
"2018/02/23 8:58:40 ÖS GMT+1","Bilgisayar ve Öğretim Teknolojileri Öğretmenliği","1","2500"
"2018/02/23 8:59:19 ÖS GMT+1","İnşaat Mühendisliği","4","4800"
"2018/02/23 8:59:35 ÖS GMT+1","Kimya Mühendisliği","3","4000"
"2018/02/23 8:59:38 ÖS GMT+1","İşletme","4","4500"
"2018/02/23 8:59:56 ÖS GMT+1","İşletme","4","3500"
"2018/02/23 9:01:02 ÖS GMT+1","İşletme","4","4000"
"2018/02/23 9:01:18 ÖS GMT+1","Bilgisayar Mühendisliği","1","1603"
"2018/02/23 9:02:46 ÖS GMT+1","Makine Mühendisliği","2","4000"
"2018/02/23 9:04:32 ÖS GMT+1","Elektrik-Elektronik Mühendisliği","2","6000"
"2018/02/23 9:05:07 ÖS GMT+1","İktisat","4","4500"
"2018/02/23 9:05:17 ÖS GMT+1","İngiliz Dili ve Edebiyatı","2","2500"
"2018/02/23 9:06:45 ÖS GMT+1","Endüstri Mühendisliği","4","4000"
"2018/02/23 9:07:43 ÖS GMT+1","İşletme","4","4500"
"2018/02/23 9:08:33 ÖS GMT+1","İnşaat Mühendisliği","2","3200"
"2018/02/23 9:09:23 ÖS GMT+1","Psikoloji","4","2250"
"2018/02/23 9:11:51 ÖS GMT+1","İngilizce Öğretmenliği","3","3623"
"2018/02/23 9:11:56 ÖS GMT+1","Uluslararası Ticaret","Hazırlık","4000"
"2018/02/23 9:12:26 ÖS GMT+1","Siyaset Bilimi ve Uluslararası İlişkiler","1","5500"
"2018/02/23 9:13:37 ÖS GMT+1","İşletme","4","4000"
"2018/02/23 9:13:46 ÖS GMT+1","İşletme","3","2700"
"2018/02/23 9:14:06 ÖS GMT+1","İngilizce Öğretmenliği","4","2500"
"2018/02/23 9:14:15 ÖS GMT+1","Siyaset Bilimi ve Uluslararası İlişkiler","3","5000"
"2018/02/23 9:15:10 ÖS GMT+1","İktisat","2","4000"
"2018/02/23 9:15:49 ÖS GMT+1","Yönetim Bilişim Sistemleri","4","3500"
"2018/02/23 9:16:34 ÖS GMT+1","Yönetim Bilişim Sistemleri","2","4000"
"2018/02/23 9:17:22 ÖS GMT+1","Fizik","2","2400"
"2018/02/23 9:19:03 ÖS GMT+1","İşletme","3","3500"
"2018/02/23 9:22:22 ÖS GMT+1","İktisat","4","3150"
"2018/02/23 9:22:33 ÖS GMT+1","İşletme","4","5000"
"2018/02/23 9:24:45 ÖS GMT+1","Bilgisayar ve Öğretim Teknolojileri Öğretmenliği","4","2700"
"2018/02/23 9:25:27 ÖS GMT+1","İşletme","3","4000"
"2018/02/23 9:26:07 ÖS GMT+1","Psikoloji","1","2500"
"2018/02/23 9:29:25 ÖS GMT+1","Bilgisayar Mühendisliği","4","5000"
"2018/02/23 9:29:52 ÖS GMT+1","İşletme","3","3000"
"2018/02/23 9:32:09 ÖS GMT+1","Psikoloji","2","5000"
"2018/02/23 9:34:36 ÖS GMT+1","İnşaat Mühendisliği","4","3000"
"2018/02/23 9:36:00 ÖS GMT+1","İktisat","3","3000"
"2018/02/23 9:39:54 ÖS GMT+1","İşletme","4","5000"
"2018/02/23 9:45:01 ÖS GMT+1","Türk Dili ve Edebiyatı","1","3500"
"2018/02/23 9:46:08 ÖS GMT+1","Siyaset Bilimi ve Uluslararası İlişkiler","3","3000"
"2018/02/23 9:47:16 ÖS GMT+1","İşletme","3","3200"
"2018/02/23 9:50:08 ÖS GMT+1","Endüstri Mühendisliği","4","8000"
"2018/02/23 9:53:19 ÖS GMT+1","İktisat","2","3500"
"2018/02/23 9:55:00 ÖS GMT+1","Tarih","4","4000"
"2018/02/23 9:55:18 ÖS GMT+1","Makine Mühendisliği","3","49999"
"2018/02/23 9:57:10 ÖS GMT+1","Makine Mühendisliği","4","5000"
"2018/02/23 9:57:30 ÖS GMT+1","Endüstri Mühendisliği","1","3200"
"2018/02/23 9:57:43 ÖS GMT+1","İşletme","4","3500"
"2018/02/23 10:03:54 ÖS GMT+1","İşletme","3","4000"
"2018/02/23 10:05:34 ÖS GMT+1","İşletme","2","49000"
"2018/02/23 10:11:03 ÖS GMT+1","Yönetim Bilişim Sistemleri","3","4000"
"2018/02/23 10:12:36 ÖS GMT+1","İngilizce Öğretmenliği","3","2800"
"2018/02/23 10:14:23 ÖS GMT+1","İktisat","4","4500"
"2018/02/23 10:18:45 ÖS GMT+1","İşletme","3","4000"
"2018/02/23 10:21:49 ÖS GMT+1","İşletme","3","3500"
"2018/02/23 10:22:24 ÖS GMT+1","Siyaset Bilimi ve Uluslararası İlişkiler","3","2800"
"2018/02/23 10:24:24 ÖS GMT+1","İnşaat Mühendisliği","1","3000"
"2018/02/23 10:24:47 ÖS GMT+1","Rehberlik ve Psikolojik Danışmanlık","4","3500"
"2018/02/23 10:25:00 ÖS GMT+1","Çeviribilim","4","3500"
"2018/02/23 10:27:30 ÖS GMT+1","Rehberlik ve Psikolojik Danışmanlık","1","4000"
"2018/02/23 10:27:57 ÖS GMT+1","İşletme","3","8000"
"2018/02/23 10:34:08 ÖS GMT+1","Elektrik-Elektronik Mühendisliği","2","6000"
"2018/02/23 10:37:15 ÖS GMT+1","Siyaset Bilimi ve Uluslararası İlişkiler","2","5000"
"2018/02/23 10:37:30 ÖS GMT+1","Endüstri Mühendisliği","1","4500"
"2018/02/23 10:42:45 ÖS GMT+1","İngilizce Öğretmenliği","4","3000"
"2018/02/23 10:43:47 ÖS GMT+1","Yönetim Bilişim Sistemleri","4","3000"
"2018/02/23 10:47:37 ÖS GMT+1","Elektrik-Elektronik Mühendisliği","4","4000"
"2018/02/23 10:49:09 ÖS GMT+1","Makine Mühendisliği","3","4000 "
"2018/02/23 10:50:35 ÖS GMT+1","Kimya Öğretmenliği","2","2500"
"2018/02/23 10:51:03 ÖS GMT+1","Uluslararası Ticaret","3","3000"
"2018/02/23 10:51:43 ÖS GMT+1","Uluslararası Ticaret","3","3250"
"2018/02/23 10:52:24 ÖS GMT+1","Makine Mühendisliği","3","4000"
"2018/02/23 11:01:53 ÖS GMT+1","Sosyoloji","2","5000"
"2018/02/23 11:04:55 ÖS GMT+1","İşletme","2","3500"
"2018/02/23 11:05:18 ÖS GMT+1","Makine Mühendisliği","3","3750"
"2018/02/23 11:08:26 ÖS GMT+1","Sosyoloji","4","3500"
"2018/02/23 11:09:43 ÖS GMT+1","Makine Mühendisliği","3","4200"
"2018/02/23 11:10:12 ÖS GMT+1","İngilizce Öğretmenliği","4","3000"
"2018/02/23 11:10:32 ÖS GMT+1","Makine Mühendisliği","3","3500"
"2018/02/23 11:11:03 ÖS GMT+1","Makine Mühendisliği","3","3000"
"2018/02/23 11:11:05 ÖS GMT+1","İşletme","4","3000"
"2018/02/23 11:11:24 ÖS GMT+1","Makine Mühendisliği","3","4000"
"2018/02/23 11:12:10 ÖS GMT+1","Elektrik-Elektronik Mühendisliği","4","4500"
"2018/02/23 11:12:33 ÖS GMT+1","İşletme","2","1603"
"2018/02/23 11:12:35 ÖS GMT+1","Makine Mühendisliği","3","5000"
"2018/02/23 11:17:35 ÖS GMT+1","Sosyoloji","Hazırlık","4000"
"2018/02/23 11:19:28 ÖS GMT+1","Yönetim Bilişim Sistemleri","3","4000"
"2018/02/23 11:24:06 ÖS GMT+1","İşletme","1","3800"
"2018/02/23 11:28:44 ÖS GMT+1","Makine Mühendisliği","3","4000"
"2018/02/23 11:31:21 ÖS GMT+1","Okul Öncesi Öğretmenliği","2","3500"
"2018/02/23 11:36:21 ÖS GMT+1","İnşaat Mühendisliği","4","5000"
"2018/02/23 11:37:56 ÖS GMT+1","Bilgisayar Mühendisliği","1","2800"
"2018/02/23 11:41:03 ÖS GMT+1","Makine Mühendisliği","1","5000"
"2018/02/23 11:41:28 ÖS GMT+1","İşletme","2","4000"
"2018/02/23 11:44:31 ÖS GMT+1","İşletme","2","4500"
"2018/02/23 11:52:08 ÖS GMT+1","Makine Mühendisliği","3","4300"
"2018/02/23 11:58:50 ÖS GMT+1","Bilgisayar Mühendisliği","2","5000"
"2018/02/24 12:10:57 ÖÖ GMT+1","Kimya Mühendisliği","4","4000"
"2018/02/24 12:12:41 ÖÖ GMT+1","İktisat","2","5000"
"2018/02/24 12:13:12 ÖÖ GMT+1","İşletme","4","4000"
"2018/02/24 12:13:45 ÖÖ GMT+1","Okul Öncesi Öğretmenliği","3","3000"
"2018/02/24 12:21:23 ÖÖ GMT+1","Bilgisayar Mühendisliği","4","3500"
"2018/02/24 12:28:58 ÖÖ GMT+1","İktisat","1","3800"
"2018/02/24 12:44:01 ÖÖ GMT+1","Fizik","1","2000"
"2018/02/24 12:46:02 ÖÖ GMT+1","Turizm İşletmeciliği","4","2300"
"2018/02/24 12:47:56 ÖÖ GMT+1","Uluslararası Ticaret","4","3300"
"2018/02/24 12:54:41 ÖÖ GMT+1","Rehberlik ve Psikolojik Danışmanlık","3","2500"
"2018/02/24 1:01:41 ÖÖ GMT+1","Çeviribilim","4","3000"
"2018/02/24 1:11:48 ÖÖ GMT+1","Kimya Mühendisliği","2","3500"
"2018/02/24 1:27:11 ÖÖ GMT+1","Elektrik-Elektronik Mühendisliği","4","5000"
"2018/02/24 1:35:55 ÖÖ GMT+1","Bilgisayar Mühendisliği","Hazırlık","50000"
"2018/02/24 1:36:12 ÖÖ GMT+1","Bilgisayar ve Öğretim Teknolojileri Öğretmenliği","Hazırlık","50000"
"2018/02/24 1:36:29 ÖÖ GMT+1","Fen Bilgisi Öğretmenliği","Hazırlık","50000"
"2018/02/24 1:36:45 ÖÖ GMT+1","Fizik Öğretmenliği","Hazırlık","50000"
"2018/02/24 1:37:02 ÖÖ GMT+1","Yönetim Bilişim Sistemleri","Hazırlık","50000"
"2018/02/24 1:39:46 ÖÖ GMT+1","Makine Mühendisliği","3","3800"
"2018/02/24 1:40:42 ÖÖ GMT+1","İşletme","3","2500"
"2018/02/24 2:04:37 ÖÖ GMT+1","İngiliz Dili ve Edebiyatı","2","1603"
"2018/02/24 2:23:20 ÖÖ GMT+1","İnşaat Mühendisliği","4","3500"
"2018/02/24 2:28:06 ÖÖ GMT+1","Endüstri Mühendisliği","2","4000"
"2018/02/24 2:37:31 ÖÖ GMT+1","İngilizce Öğretmenliği","1","3000"
"2018/02/24 2:43:56 ÖÖ GMT+1","Fizik","2","5000"
"2018/02/24 4:08:54 ÖÖ GMT+1","Yönetim Bilişim Sistemleri","3","4000"
"2018/02/24 5:15:03 ÖÖ GMT+1","Tarih","1","2500"
"2018/02/24 5:40:56 ÖÖ GMT+1","Rehberlik ve Psikolojik Danışmanlık","4","2500"
"2018/02/24 5:56:55 ÖÖ GMT+1","Matematik","3","4000"
"2018/02/24 5:57:05 ÖÖ GMT+1","İşletme","3","2700 "
"2018/02/24 6:06:00 ÖÖ GMT+1","Bilgisayar Mühendisliği","2","3000"
"2018/02/24 6:34:51 ÖÖ GMT+1","Makine Mühendisliği","3","5000"
"2018/02/24 7:03:04 ÖÖ GMT+1","Çeviribilim","4","3000"
"2018/02/24 7:10:22 ÖÖ GMT+1","Sosyoloji","4","3000"
"2018/02/24 7:13:00 ÖÖ GMT+1","İktisat","3","3300"
"2018/02/24 7:26:36 ÖÖ GMT+1","İktisat","3","2500"
"2018/02/24 7:28:00 ÖÖ GMT+1","İşletme","3","3500"
"2018/02/24 7:38:15 ÖÖ GMT+1","Kimya","4","3200"
"2018/02/24 7:44:13 ÖÖ GMT+1","İktisat","4","4000"
"2018/02/24 7:59:51 ÖÖ GMT+1","İnşaat Mühendisliği","2","5000"
"2018/02/24 8:15:05 ÖÖ GMT+1","Bilgisayar Mühendisliği","3","15000"
"2018/02/24 8:25:21 ÖÖ GMT+1","Bilgisayar ve Öğretim Teknolojileri Öğretmenliği","Hazırlık","5000"
"2018/02/24 8:29:10 ÖÖ GMT+1","İşletme","2","1800 "
"2018/02/24 8:29:38 ÖÖ GMT+1","İşletme","2","1800 "
"2018/02/24 8:30:09 ÖÖ GMT+1","Turizm İşletmeciliği","Hazırlık","5000"
"2018/02/24 8:30:11 ÖÖ GMT+1","Turizm İşletmeciliği","Hazırlık","5000"
"2018/02/24 8:30:13 ÖÖ GMT+1","İktisat","2","2000 "
"2018/02/24 8:30:38 ÖÖ GMT+1","İktisat","2","2000 "
"2018/02/24 8:34:36 ÖÖ GMT+1","İngiliz Dili ve Edebiyatı","2","3500"
"2018/02/24 8:58:50 ÖÖ GMT+1","Sosyoloji","1","3500"
"2018/02/24 9:19:07 ÖÖ GMT+1","Sosyoloji","2","2500"
"2018/02/24 9:19:49 ÖÖ GMT+1","Endüstri Mühendisliği","3","5000"
"2018/02/24 9:26:05 ÖÖ GMT+1","İngilizce Öğretmenliği","4","2500"
"2018/02/24 9:27:18 ÖÖ GMT+1","Kimya Mühendisliği","4","3000"
"2018/02/24 9:31:01 ÖÖ GMT+1","Bilgisayar Mühendisliği","4","4500"
"2018/02/24 9:41:23 ÖÖ GMT+1","Fen Bilgisi Öğretmenliği","2","3500"
"2018/02/24 9:58:08 ÖÖ GMT+1","Bilgisayar Mühendisliği","2","4000"
"2018/02/24 9:58:52 ÖÖ GMT+1","İngilizce Öğretmenliği","3","3000"
"2018/02/24 10:05:02 ÖÖ GMT+1","Siyaset Bilimi ve Uluslararası İlişkiler","1","5000"
"2018/02/24 10:28:47 ÖÖ GMT+1","Matematik","4","30000"
"2018/02/24 10:29:42 ÖÖ GMT+1","Matematik","4","3000"
"2018/02/24 10:39:19 ÖÖ GMT+1","İnşaat Mühendisliği","1","3000"
"2018/02/24 11:02:12 ÖÖ GMT+1","Dilbilim","1","1604"
"2018/02/24 11:04:05 ÖÖ GMT+1","Çeviribilim","3","5000"
"2018/02/24 11:05:09 ÖÖ GMT+1","Rehberlik ve Psikolojik Danışmanlık","1","2500"
"2018/02/24 11:09:17 ÖÖ GMT+1","İktisat","4","2700"
"2018/02/24 11:25:48 ÖÖ GMT+1","Psikoloji","1","2600"
"2018/02/24 11:28:58 ÖÖ GMT+1","Kimya","4","2800"
"2018/02/24 11:29:30 ÖÖ GMT+1","İktisat","4","5000"
"2018/02/24 11:38:02 ÖÖ GMT+1","Endüstri Mühendisliği","3","4000"
"2018/02/24 11:40:46 ÖÖ GMT+1","Okul Öncesi Öğretmenliği","2","3500"
"2018/02/24 11:47:22 ÖÖ GMT+1","Kimya Mühendisliği","3","3200"
"2018/02/24 11:56:44 ÖÖ GMT+1","Siyaset Bilimi ve Uluslararası İlişkiler","4","3000"
"2018/02/24 12:13:02 ÖS GMT+1","İngilizce Öğretmenliği","2","2800"
"2018/02/24 12:21:16 ÖS GMT+1","Uluslararası Ticaret","4","3000"
"2018/02/24 12:23:14 ÖS GMT+1","Sosyoloji","3","3000"
"2018/02/24 12:24:43 ÖS GMT+1","Yönetim Bilişim Sistemleri","Hazırlık","3750"
"2018/02/24 12:27:53 ÖS GMT+1","İktisat","4","4500"
"2018/02/24 12:37:27 ÖS GMT+1","İngilizce Öğretmenliği","1","2000"
"2018/02/24 12:42:01 ÖS GMT+1","Okul Öncesi Öğretmenliği","3","4000"
"2018/02/24 12:50:34 ÖS GMT+1","Bilgisayar Mühendisliği","3","3000"
"2018/02/24 1:07:54 ÖS GMT+1","Fen Bilgisi Öğretmenliği","3","2500"
"2018/02/24 1:08:49 ÖS GMT+1","Sosyoloji","2","3000"
"2018/02/24 1:14:16 ÖS GMT+1","Elektrik-Elektronik Mühendisliği","1","4200"
"2018/02/24 1:16:05 ÖS GMT+1","Endüstri Mühendisliği","3","4000"
"2018/02/24 1:21:00 ÖS GMT+1","Sosyoloji","3","2000"
"2018/02/24 1:21:30 ÖS GMT+1","Bilgisayar Mühendisliği","4","4500"
"2018/02/24 1:27:04 ÖS GMT+1","Kimya","2","2500"
"2018/02/24 1:37:51 ÖS GMT+1","Yönetim Bilişim Sistemleri","2","4500"
"2018/02/24 1:41:18 ÖS GMT+1","Psikoloji","Hazırlık","3000"
"2018/02/24 1:44:13 ÖS GMT+1","Makine Mühendisliği","Hazırlık","5000"
"2018/02/24 1:44:34 ÖS GMT+1","İktisat","3","4000"
"2018/02/24 1:46:52 ÖS GMT+1","Türk Dili ve Edebiyatı","Hazırlık","2500"
"2018/02/24 1:50:35 ÖS GMT+1","Matematik","4","2000"
"2018/02/24 1:53:37 ÖS GMT+1","Dilbilim","2","3000"
"2018/02/24 1:55:22 ÖS GMT+1","Uluslararası Ticaret","3","49000"
"2018/02/24 1:56:40 ÖS GMT+1","Matematik","2","7500"
"2018/02/24 1:57:41 ÖS GMT+1","Uluslararası Ticaret","4","3500"
"2018/02/24 1:58:49 ÖS GMT+1","Uluslararası Ticaret","3","50000"
"2018/02/24 1:59:16 ÖS GMT+1","Uluslararası Ticaret","2","4200"
"2018/02/24 1:59:41 ÖS GMT+1","Uluslararası Ticaret","4","2500"
"2018/02/24 2:00:12 ÖS GMT+1","Uluslararası Ticaret","4","4000"
"2018/02/24 2:00:15 ÖS GMT+1","Uluslararası Ticaret","3","50000"
"2018/02/24 2:02:23 ÖS GMT+1","Uluslararası Ticaret","3","3500"
"2018/02/24 2:02:54 ÖS GMT+1","Elektrik-Elektronik Mühendisliği","4","5000"
"2018/02/24 2:03:16 ÖS GMT+1","Uluslararası Ticaret","4","4350"
"2018/02/24 2:05:58 ÖS GMT+1","Matematik","4","4000"
"2018/02/24 2:06:01 ÖS GMT+1","Elektrik-Elektronik Mühendisliği","4","4000"
"2018/02/24 2:08:08 ÖS GMT+1","İşletme","4","4000"
"2018/02/24 2:08:13 ÖS GMT+1","Çeviribilim","1","2500"
"2018/02/24 2:08:15 ÖS GMT+1","Makine Mühendisliği","2","5000"
"2018/02/24 2:08:45 ÖS GMT+1","Matematik","4","4500"
"2018/02/24 2:14:52 ÖS GMT+1","Rehberlik ve Psikolojik Danışmanlık","Hazırlık","2500"
"2018/02/24 2:15:47 ÖS GMT+1","İlköğretim Matematik Öğretmenliği","Hazırlık","1604"
"2018/02/24 2:16:09 ÖS GMT+1","Uluslararası Ticaret","4","3000"
"2018/02/24 2:16:57 ÖS GMT+1","İşletme","Hazırlık","3000"
"2018/02/24 2:17:27 ÖS GMT+1","Tarih","Hazırlık","4500"
"2018/02/24 2:18:55 ÖS GMT+1","Tarih","Hazırlık","3800"
